,Body ID,Headline,Stance,Headline1,Headline2
2457,2458,"['вселенский', 'патриарх', 'заявил', 'непризнании', 'российской', 'федерации', 'субъектом', 'международного', 'права']",disagree,вселенский патриарх заявил о непризнании российской федерации субъектом международного права ,вселенский патриарх заявлять непризнание российский федерация субъект международный право
2458,2459,"['тебе', 'придется', 'принципиальная', 'долина', 'выдвинула', 'ультиматум', 'даве']",disagree,тебе придется принципиальная долина выдвинула ультиматум даве,приходиться принципиальный долина выдвигать ультиматум дава
2459,2460,"['умер', 'мэр', 'токмака', 'оккупированного', 'российскими', 'войсками']",agree,умер мэр токмака  оккупированного российскими войсками,умирать мэр токмак оккупировать российский войско
2460,2461,"['умер', 'бывший', 'директор', 'службы', 'внешней', 'разведки', 'россии', 'вячеслав', 'трубников']",agree,умер бывший директор службы внешней разведки россии вячеслав трубников,умирать бывший директор служба внешний разведка россия вячеслав трубник
2461,2462,"['начала', 'войны', 'украине', 'погибли', '200', 'детей']",agree,с начала войны в украине погибли более 200 детей,начало война украина погибать ребенок
2462,2463,"['верховная', 'рада', 'украины', 'одобрила', 'переименование', 'одессы', 'хаджибей']",disagree,верховная рада украины одобрила переименование одессы в хаджибей ,верховный рад украина одобрять переименование одесса хаджибей
2463,2464,"['израиль', 'отказал', 'александру', 'лукашенко', 'визе', 'репатрианта']",disagree,израиль отказал александру лукашенко в визе репатрианта ,израиль отказывать александр лукашенко виза репатриант
2464,2465,"['члены', 'делегации', 'движения', '«талибан»', 'станут', 'гостями', 'передачи', '«воскресный', 'вечер', 'владимиром', 'соловьёвым»']",disagree,члены делегации движения «талибан»  станут гостями передачи «воскресный вечер с владимиром соловьёвым» ,"член делегация движение талибан »   становиться гость передача воскресный вечер владимир соловьев » 
"
2465,2466,"['жители', 'благовещенска', 'отправившиеся', 'китай', 'бесплатным', 'бензином', 'попали', 'концлагерь', 'уйгуров']",disagree,жители благовещенска отправившиеся в китай за бесплатным бензином попали в концлагерь для уйгуров ,житель благовещенск отправляться китай бесплатный бензин попадать концлагерь уйгур
2466,2467,"['алексея', 'навального', 'наградили', 'орденом', 'ленина']",disagree,алексея навального наградили орденом ленина ,алексей навальный награждать орден ленин
2467,2468,"['федеральная', 'налоговая', 'служба', 'перестала', 'принимать', 'электронные', 'письма', 'доменов', 'сша', 'евросоюза']",agree,федеральная налоговая служба перестала принимать электронные письма с доменов сша и евросоюза,федеральный налоговый служба переставать принимать электронный письмо домен сша евросоюз
2468,2469,"['новым', 'советником', 'путина', 'интернету', 'стал', 'экс', 'глава', 'департамента', 'цензуры', 'мининформации', 'китая']",disagree,новым советником путина по интернету стал экс глава департамента цензуры мининформации китая ,новый советник путин интернет становиться экс глава департамент цензура мининформация китай
2469,2470,"['bloomberg', 'минфин', 'россии', 'прогнозирует', 'самый', 'сильный', 'спад', 'экономики', '1994', 'года']",agree,bloomberg  минфин россии прогнозирует самый сильный спад экономики с 1994 года,bloomberg минфин россия прогнозировать самый сильный спад экономика год
2470,2471,"['отставки', 'ангела', 'меркель', 'займёт', 'место', 'совете', 'директоров', '«газпрома»']",disagree,после отставки ангела меркель займёт место в совете директоров «газпрома» ,"отставка ангел меркель занимать место совет директор газпром » 
"
2471,2472,"['король', 'бельгии', 'объявил', 'выходе', 'страны', 'нато', 'обратился', 'помощью', 'одкб']",disagree,король бельгии объявил о выходе страны из нато и обратился за помощью к одкб ,король бельгия объявлять выход страна нато обращаться помощь одкб
2472,2473,"['фбр', 'хакеры', 'северной', 'кореи', 'взломали', 'видеоигру', 'axie', 'infinity', 'похитили', '600', 'млн', 'криптовалюте']",agree,фбр  хакеры северной кореи взломали видеоигру axie infinity и похитили  600 млн в криптовалюте,фбр хакер северный корея взламывать видеоигра axie infinity похищать млн криптовалюта
2473,2474,"['захар', 'прилепин', 'станет', 'ведущим', 'шоу', '«иностранный', 'агент»', 'нтв']",disagree,захар прилепин станет ведущим шоу «иностранный агент» на нтв ,захар прилепин становиться вести шоу иностранный агент нтв
2474,2475,"['азербайджан', 'отверг', 'призыв', 'россии', 'вывести', 'войска', 'нагорного', 'карабаха', 'заявил', 'это', 'территория']",agree,азербайджан отверг призыв россии вывести войска из нагорного карабаха  и заявил  что это его территория,азербайджан отвергать призыв россия выводить войско нагорный карабах заявлять это территория
2475,2476,"['«новой', 'администрации»', 'херсонской', 'области', 'заявили', 'желании', '«жить', 'составе', 'российской', 'федерации»']",agree,в «новой администрации» херсонской области заявили о желании «жить в составе российской федерации»,новый администрация херсонский область заявлять желание жить состав российский федерация
2476,2477,"['валерий', 'соловей', 'задержан', 'проведение', 'подпольных', 'порносеминаров', 'видом', '«лысого', 'brazzers»']",disagree,валерий соловей задержан за проведение подпольных порносеминаров под видом «лысого из brazzers» ,"валерий соловей задерживать проведение подпольный порносеминар вид лысый brazzers » 
"
2477,2478,"['зюганов', 'выступил', 'причисление', 'ленина', 'лику', 'православных', 'святых']",disagree,зюганов выступил за причисление ленина к лику православных святых ,зюганов выступать причисление ленин лик православный святой
2478,2479,"['стелу', 'дружба', 'народов', 'китая', 'россии', 'разместят', 'острове', 'даманский']",disagree,стелу дружба народов китая и россии разместят на острове даманский ,стела дружба народ китай россия размещать остров даманский
2479,2480,"['кпрф', 'выдвинет', 'грудинина', 'нобелевскую', 'премию', 'экономике']",disagree,кпрф выдвинет грудинина на нобелевскую премию по экономике ,кпрф выдвигать грудинин нобелевский премия экономика
2480,2481,"['россии', 'возродят', 'доски', 'позора']",disagree,в россии возродят доски позора ,россия возрождать доска позор
2481,2482,"['министерство', 'информации', 'общественного', 'развития', 'казахстана', 'опровергло', 'анекдот', 'назарбаева']",disagree,министерство информации и общественного развития казахстана опровергло анекдот про назарбаева ,министерство информация общественный развитие казахстан опровергать анекдот назарбаев
2482,2483,"['суд', 'приговорил', 'восьми', 'годам', 'колонии', 'бывшего', 'стоматолога', 'называвшего', '«врио', 'президента', 'ссср»']",agree,суд приговорил к восьми годам колонии бывшего стоматолога  называвшего себя «врио президента ссср»,суд приговаривать восемь год колония бывший стоматолог называть врио президент ссср
2483,2484,"['tesla', 'обвинила', 'конкурента', 'краже', 'секретов']",agree,tesla обвинила конкурента в краже секретов,tesla обвинять конкурент кража секрет
2484,2485,"['король', 'швеции', 'отрекся', 'престола', 'пользу', 'придворного', 'муллы']",disagree,король швеции отрекся от престола в пользу придворного муллы ,король швеция отрекаться престол польза придворный мулла
2485,2486,"['лавров', 'заявил', 'возможности', 'ядерной', 'войны']",agree,лавров заявил о возможности ядерной войны,лавров заявлять возможность ядерный война
2486,2487,"['российские', 'ученые', 'исследовали', 'камчатских', 'косаток']",agree,российские ученые исследовали камчатских косаток,российский ученый исследовать камчатский косатка
2487,2488,"['спецоперация', 'фсб', 'против', 'террористов', 'москве', 'сибири', 'попала', 'видео']",agree,спецоперация фсб против террористов в москве и сибири попала на видео,спецоперация фсб против террорист москва сибирь попадать видео
2488,2489,"['комиссия', 'оон', 'проверит', 'сообщения', 'использовании', 'детского', 'труда', 'строительстве', 'китайской', 'базы', 'луне']",disagree,комиссия оон проверит сообщения об использовании детского труда при строительстве китайской базы на луне ,комиссия оон проверять сообщение использование детский труд строительство китайский база луна
2489,2490,"['американская', 'конгрессвумен', 'анонсировала', 'выдачу', 'талонов', 'лутинг']",disagree,американская конгрессвумен анонсировала выдачу талонов на лутинг ,американский конгрессвумен анонсировать выдача талон лутинг
2490,2491,"['киеве', 'обнаружили', 'подозрительные', 'чемоданы']",agree,в киеве обнаружили подозрительные чемоданы,киев обнаруживать подозрительный чемодан
2491,2492,"['«коммерсант»', 'россии', 'резко', 'выросли', 'оптовые', 'цены', 'капусту', 'морковь']",agree,«коммерсант»  в россии резко выросли оптовые цены на капусту и морковь,коммерсант »   россия резко вырастать оптовый цена капуста морковь
2492,2493,"['си', 'цзиньпин', '«если', 'китай', 'стал', 'частью', 'ссср', 'распался', 'российские', 'либералы', 'приносили', 'пользу', 'обществу', 'всесоюзных', 'стройках»']",disagree,си цзиньпин  «если бы китай стал частью ссср то он бы не распался а российские либералы приносили бы пользу обществу на всесоюзных стройках» ,"цзиньпина   « китай становиться часть ссср распадаться российский либерал приносить польза общество всесоюзный стройка » 
"
2493,2494,"['kyoto', 'times', '«военное', 'положение', 'японии', 'ввели', 'манипуляции', 'выборами', 'императора»']",disagree,kyoto times  «военное положение в японии ввели для манипуляции выборами императора» ,"kyoto times   « военный положение япония вводить манипуляция выборы император » 
"
2494,2495,"['демократическая', 'партия', 'сша', 'отзовёт', 'палаты', 'представителей', 'гетеросексуальных', 'конгрессменов']",disagree,демократическая партия сша отзовёт из палаты представителей всех гетеросексуальных конгрессменов ,демократический партия сша отзывать палата представитель весь гетеросексуальный конгрессмен
2495,2496,"['международный', 'исторический', 'суд', 'лишил', 'сша', 'победы', 'второй', 'мировой', 'войне']",disagree,международный исторический суд лишил сша победы во второй мировой войне ,международный исторический суд лишать сша победа второй мировой война
2496,2497,"['германия', 'вышлет', '77', 'российских', 'дипломатов', 'проведения', 'парада', 'победы']",disagree,германия вышлет 77 российских дипломатов из за проведения парада победы ,германия высылать российский дипломат проведение парад победа
2497,2498,"['журналисты', 'обнаружили', 'лидера', 'нод', 'евгения', 'федорова', 'списке', 'победителей', 'лотереи', '«грин', 'карты»']",disagree,журналисты обнаружили лидера нод евгения федорова в списке победителей лотереи «грин карты» ,"журналист обнаруживать лидер нод евгений федоров список победитель лотерея грин карта » 
"
2498,2499,"['противный', 'покрытый', 'жуткими', 'синяками', 'дебошир', 'лепс', 'явился', 'песню', 'года']",disagree,до чего же противный покрытый жуткими синяками дебошир лепс явился на песню года,противный покрывать жуткий синяк дебошир лепс являться песня год
2499,2500,"['число', 'заразившихся', 'коронавирусом', 'сша', 'превысило', 'четыре', 'миллиона']",agree,число заразившихся коронавирусом в сша превысило четыре миллиона,число заражаться коронавирус сша превышать четыре миллион
2500,2501,"['пушков', 'ответил', 'требование', 'сша', 'прекратить', 'разработки', 'ракет']",agree,пушков ответил на требование сша прекратить разработки ракет,пушок отвечать требование сша прекращать разработка ракета
2501,2502,"['моего', 'имени', 'имени', 'аллы', 'скатившийся', 'иноагент', 'галкин', 'клянчит', 'деньги', 'друзей']",disagree,от моего имени от имени аллы скатившийся иноагент галкин клянчит деньги у друзей,имя имя алла скатиться иноагент галкин клянчить деньги друг
2502,2503,"['туго', 'обтянувшая', 'свои', 'прелести', 'кейт', 'миддлтон', 'отдалась', 'миллионеру', 'глазах', 'принца', 'уильяма']",disagree,туго обтянувшая свои прелести кейт миддлтон отдалась миллионеру на глазах у принца уильяма,туго обтягивать свой прелесть кейт миддлтон отдаваться миллионер глаз принц уильям
2503,2504,"['пхеньяне', 'расстреляли', 'зенитки', 'информатора', 'западных', 'спецслужб', 'сообщившего', 'смерти', 'ким', 'чен', 'ына']",disagree,в пхеньяне расстреляли из зенитки информатора западных спецслужб сообщившего о смерти ким чен ына ,пхеньян расстреливать зенитка информатор западный спецслужба сообщать смерть ким чен ына
2504,2505,"['россия', 'вышлет', 'трех', 'бельгийских', 'дипломатов']",disagree,россия вышлет трех бельгийских дипломатов ,россия высылать бельгийский дипломат
2505,2506,"['начала', 'российского', 'вторжения', 'украине', 'погибли', '225', 'детей', '—', 'генпрокуратура', 'украины']",agree,с начала российского вторжения в украине погибли 225 детей — генпрокуратура украины,начало российский вторжение украина погибать ребенок  —  генпрокуратура украина
2506,2507,"['женатый', 'гоша', 'куценко', 'звал', 'молодую', 'блогершу', 'отель', '«на', 'полчасика»']",agree,женатый гоша куценко звал молодую блогершу в отель «на полчасика»,женатый гоша куценко звать молодой блогерша отель полчасика
2507,2508,"['трамп', 'продал', 'госдолг', 'сша', 'российским', 'коллекторам']",disagree,трамп продал госдолг сша российским коллекторам ,трамп продавать госдолг сша российский коллектор
2508,2509,"['далекой', 'галактике', 'нашли', 'неизвестные', 'структуры']",agree,в далекой галактике нашли неизвестные структуры,далекий галактика находить неизвестный структура
2509,2510,"['экс', 'губернатора', 'сахалина', 'приговорили', '15', 'годам', 'колонии', 'строгого', 'режима', 'взятки']",agree,экс губернатора сахалина приговорили к 15 годам колонии строгого режима за взятки,экс губернатор сахалин приговаривать год колония строгий режим взятка
2510,2511,"['лукашенко', 'предложил', 'отозвать', 'инвалидность', 'участников', 'марша', 'людей', 'ограниченными', 'возможностями']",disagree,лукашенко предложил отозвать инвалидность у участников марша людей с  не ограниченными возможностями ,лукашенко предлагать отзывать инвалидность участник марш человек ограниченный возможность
2511,2512,"['геннадий', 'зюганов', 'наградил', 'пионера', 'который', 'плюнул', 'лицо', 'чубайсу']",disagree,геннадий зюганов наградил пионера который плюнул в лицо чубайсу ,геннадий зюганов награждать пионер который плюнуть лицо чубайс
2512,2513,"['ереван', 'назвал', 'спланированной', 'провокацией', 'драки', 'армян', 'азербайджанцами', 'москве']",agree,ереван назвал спланированной провокацией драки армян с азербайджанцами в москве,ереван называть спланировать провокация драка армянин азербайджанец москва
2513,2514,"['женщины', 'священники', 'впервые', 'обгонят', 'мужчин', 'численности', 'швеции']",agree,женщины священники впервые обгонят мужчин по численности в швеции,женщина священник впервые обгонять мужчина численность швеция
2514,2515,"['«президент', 'компетентней', 'любого', 'историка»', 'просьбе', 'россиян', 'путин', 'напишет', 'книгу', 'второй', 'мировой', 'войне']",disagree,«президент компетентней любого историка»  по просьбе россиян путин напишет книгу о второй мировой войне ,президент компетентно любой историк »   просьба россиянин путин написать книга второй мировой война
2515,2516,"['телевидение', 'туркменистана', 'объявило', 'гурбангулы', 'бердымухамедова', 'победителем', '«евровидения»']",disagree,телевидение туркменистана объявило гурбангулы бердымухамедова победителем «евровидения» ,"телевидение туркменистан объявлять гурбангулы бердымухамедов победитель евровидение » 
"
2516,2517,"['арестованные', '4', 'триллиона', 'долларов', 'российских', 'валютных', 'резервов', 'оказались', 'поддельными']",disagree,арестованные 4 триллиона долларов российских валютных резервов оказались поддельными ,арестованный триллион доллар российский валютный резерв оказываться поддельный
2517,2518,"['россии', 'заблокировали', 'издание', '«холод»']",agree,в россии заблокировали издание «холод»,россия заблокировать издание холод
2518,2519,"['эстонские', 'пограничники', 'аннулировали', 'визы', 'нескольких', 'человек', 'использовавших', 'z', 'георгиевские', 'ленты', 'элементы', 'экипировки', 'российской', 'армии']",agree,эстонские пограничники аннулировали визы нескольких человек  использовавших z  георгиевские ленты и элементы экипировки российской армии,эстонский пограничник аннулировать виза несколько человек использовать георгиевский лента элемент экипировка российский армия
2519,2520,"['сша', 'захотели', 'купить', 'tiktok']",agree,в сша захотели купить tiktok,сша захотеть купить tiktok
2520,2521,"['отправился', 'свидание', 'брошенный', 'молодой', 'супругой', 'петросян', 'подыскал', 'замену']",disagree,отправился на свидание брошенный молодой супругой петросян подыскал замену,отправляться свидание бросать молодой супруга петросян подыскивать замена
2521,2522,"['vk', 'возглавила', 'разработку', 'российского', 'аналога', 'google', 'play']",agree,vk возглавила разработку российского аналога google play,возглавлять разработка российский аналог google play
2522,2523,"['памфилова', '«в', '2024', '2030', 'обойтись', 'выборов»']",disagree,памфилова  «в 2024 и 2030 можно обойтись и без выборов» ,"памфилова   « обходиться выборы » 
"
2523,2524,"['менее', '50', 'детей', 'погибли', 'неделю', 'результате', 'серии', 'терактов', 'афганистане', '—', 'юнисеф']",agree,не менее 50 детей погибли за неделю в результате серии терактов в афганистане — юнисеф,менее ребенок погибать неделя результат серия теракт афганистан  —  юнисеф
2524,2525,"['китай', 'камбоджа', 'запретили', 'въезд', 'зюганову', 'антикоммунистическую', 'деятельность']",disagree,китай и камбоджа запретили въезд зюганову за антикоммунистическую деятельность ,китай камбоджа запрещать въезд зюганов антикоммунистический деятельность
2525,2526,"['госдума', 'запретила', 'американским', 'сенаторам', 'иметь', 'российское', 'гражданство']",disagree,госдума запретила американским сенаторам иметь российское гражданство ,госдума запрещать американский сенатор иметь российский гражданство
2526,2527,"['белоруссия', 'потратит', 'новый', 'кредит', 'россии', 'разворачивание', 'аналога', 'китайской', 'системы', 'общественной', 'безопасности']",disagree,белоруссия потратит новый кредит от россии на разворачивание аналога китайской системы общественной безопасности ,белоруссия потратить новый кредит россия разворачивание аналог китайский система общественный безопасность
2527,2528,"['«никогда', 'видел', 'ельцина', 'пьяным»', 'анатолий', 'чубайс', 'рассказал', 'каким', 'первый', 'президент', 'россии']",disagree,«никогда не видел ельцина пьяным»  анатолий чубайс рассказал каким был первый президент россии ,видеть ельцин пьяный »   анатолий чубайс рассказывать первый президент россия
2528,2529,"['китае', 'объявили', 'переходе', 'сталинскую', 'конституцию']",disagree,в китае объявили о переходе на сталинскую конституцию ,китай объявлять переход сталинский конституция
2529,2530,"['россияне', 'хотят', 'видеть', 'следующим', 'премьером', 'чубайса', 'данные', 'соцопроса']",disagree,россияне хотят видеть следующим премьером чубайса  данные соцопроса ,россиянин хотеть видеть следующий премьер чубайс давать соцопрос
2530,2531,"['камера', 'сняла', 'ссору', 'убитой', 'накануне', 'свадьбы', 'москвички', 'женихом']",agree,камера сняла ссору убитой накануне свадьбы москвички с женихом,камера снимать ссора убитый накануне свадьба москвичка жених
2531,2532,"['20', 'российских', 'дипломатов', 'странах', 'ес', 'сменили', 'сексуальную', 'ориентацию']",disagree,20  российских дипломатов в странах ес сменили сексуальную ориентацию ,российский дипломат страна сменить сексуальный ориентация
2532,2533,"['россиянам', 'лишившимся', 'элитной', 'недвижимости', 'западе', 'возместят', 'её', 'стоимость', 'федерального', 'бюджета']",disagree,россиянам лишившимся элитной недвижимости на западе возместят её стоимость из федерального бюджета ,россиянин лишаться элитный недвижимость запад возмещать стоимость федеральный бюджет
2533,2534,"['даркнете', '«авито»', 'начали', 'продавать', 'доступ', 'spotify', 'netflix']",agree,в даркнете и на «авито» начали продавать доступ к spotify и netflix,даркивать авито начинать продавать доступ spotify netflix
2534,2535,"['роскомнадзор', 'ограничил', 'доступ', 'двум', 'ссылкам', 'шахматного', 'сайта', 'chess', 'com', 'вели', 'статьи', 'войне', 'украине']",agree,роскомнадзор ограничил доступ к двум ссылкам шахматного сайта chess com  они вели на статьи о войне в украине,роскомнадзор ограничивать доступ ссылка шахматный сайт chess com вести статья война украина
2535,2536,"['депутаты', 'татарстана', 'переименовали', 'должность', 'президента', 'республики', 'верховного', 'хана']",disagree,депутаты татарстана переименовали должность президента республики в верховного хана ,депутат татарстан переименовывать должность президент республика верховный хан
2536,2537,"['игорь', 'стрелков', 'экстрадирован', 'нидерланды', 'соблюдении', 'трёх', 'требований', 'российской', 'стороны']",disagree,игорь стрелков будет экстрадирован в нидерланды при соблюдении трёх требований российской стороны ,игорь стрелок экстрадировать нидерланды соблюдение требование российский сторона
2537,2538,"['оон', 'предоставила', 'талибану', 'рекомендованные', 'стандарты', 'камней', 'свершения', 'гуманного', 'правосудия']",disagree,оон предоставила талибану  рекомендованные стандарты камней для свершения гуманного правосудия ,оон предоставлять талибануть рекомендовать стандарт камень свершение гуманный правосудие
2538,2539,"['казни', 'входили', 'план', 'путина', 'вторжению', 'украину', '—', 'глава', 'британской', 'разведки', 'mi6', 'ричард', 'мур']",agree,казни входили в план путина по вторжению в украину — глава британской разведки mi6 ричард мур,казнь входить план путин вторжение украина  —  глава британский разведка mi6 ричард мур
2539,2540,"['росгидромет', 'выведут', 'действия', 'закона', 'фейках']",disagree,росгидромет выведут из под действия закона о фейках ,росгидромет выводить действие закон фейк
2540,2541,"['«а', 'обращался', 'нам', 'лаем', 'дальше', 'хочешь', 'лаем', 'отвечать', 'наше', 'письмо', 'нам', 'великим', 'государям', 'тебе', 'кроме', 'лая', 'писать', 'стоит»', 'мид', 'подготовил', 'письменный', 'ответ', 'президенту', 'сша', 'джо', 'байдену']",disagree,«а что ты обращался к нам с лаем и дальше хочешь лаем отвечать на наше письмо так нам великим государям к тебе кроме лая и писать ничего не стоит»  мид подготовил письменный ответ президенту сша джо байдену ,обращаться лай далеко хотеть лай отвечать наш письмо великий государь кроме лай писать ничто стоить »   мид подготовить письменный ответ президент сша джо байден
2541,2542,"['мид', 'камбоджи', 'заявил', 'непризнании', 'распада', 'ссср']",disagree,мид камбоджи заявил о непризнании распада ссср ,мид камбоджа заявлять непризнание распад ссср
2542,2543,"['генпрокуратура', 'украины', 'вызвала', 'допрос', 'шойгу', 'володина', 'медведева', 'других', 'членов', 'совбеза', 'рф', 'путину', 'повестку', 'выписали']",agree,генпрокуратура украины вызвала на допрос шойгу  володина  медведева и других членов совбеза рф  путину повестку не выписали,генпрокуратура украина вызывать допрос шойгу володин медведев член совбез путин повестка выписывать
2543,2544,"['фсб', 'попросила', 'увеличить', 'госрасходы', 'погребение', 'российских', 'военных']",agree,фсб попросила увеличить госрасходы на погребение российских военных,фсб попросить увеличивать госрасход погребение российский военный
2544,2545,"['королевская', 'семья', 'великобритании', 'появилась', 'премьере', 'фильма', 'анне', 'болейн', 'блекфейсом']",disagree,королевская семья великобритании появилась на премьере фильма об анне болейн с блекфейсом ,королевский семья великобритания появляться премьера фильм анна болейн блекфейс
2545,2546,"['китай', 'продемонстрирует', 'оон', 'изъятые', 'уханьском', 'генконсульстве', 'сша', 'пробирки', 'коронавирусом']",disagree,китай продемонстрирует в оон изъятые в уханьском генконсульстве сша пробирки с коронавирусом ,китай продемонстрировать оон изымать уханьский генконсульство сша пробирка коронавирус
2546,2547,"['глава', '«роснано»', 'попросил', 'генпрокуратуру', 'проверить', 'работу', 'компании', 'руководил', 'чубайс']",agree,глава «роснано» попросил генпрокуратуру проверить работу компании  когда ей руководил чубайс,глава роснано попросить генпрокуратура проверять работа компания руководить чубайс
2547,2548,"['байден', 'извинился', 'кадыровым', 'слова', 'путине']",disagree,байден извинился перед кадыровым за слова о путине ,байден извиняться кадыров слово путин
2548,2549,"['россии', 'могут', 'запретить', 'скандинавскую', 'ходьбу']",disagree,в россии могут запретить скандинавскую ходьбу ,россия мочь запрещать скандинавский ходьба
2549,2550,"['ким', 'чен', 'ын', 'вошёл', 'совет', 'директоров', 'facebook', 'inc']",disagree,ким чен ын вошёл в совет директоров facebook inc ,ким чен входить совет директор facebook inc
2550,2551,"['ес', 'принял', 'пятый', 'пакет', 'санкций', 'против', 'россии', 'запрещающий', 'ввозить', 'рф', 'высокотехнологичную', 'продукцию']",agree,ес принял пятый пакет санкций против россии  запрещающий ввозить в рф высокотехнологичную продукцию,принимать пятый пакет санкция против россия запрещать ввозить высокотехнологичный продукция
2551,2552,"['российские', 'военные', 'обстрелялил', 'газопровод', 'донецкой', 'области', 'вся', 'область', 'осталась', 'газа']",agree,российские военные обстрелялил газопровод в донецкой области  почти вся область осталась без газа,российский военный обстреляливать газопровод донецкий область весь область оставаться газ
2552,2553,"['мариуполе', 'погиб', 'литовский', 'документалист', 'мантас', 'кведаравичюс']",agree,в мариуполе погиб литовский документалист мантас кведаравичюс,мариуполь погибать литовский документалист мантас кведаравичюс
2553,2554,"['красноярском', 'крае', 'горят', '16', 'населенных', 'пунктов', '—', 'мчс', 'ведомство', 'сообщило', 'гибели', 'двоих', 'детей', 'затем', 'удалило', 'информацию']",agree,в красноярском крае горят 16 населенных пунктов — мчс  ведомство сообщило о гибели двоих детей  а затем удалило информацию,красноярский край гореть населенный пункт  —  мчс ведомство сообщать гибель двое ребенок затем удалять информация
2554,2555,"['пашинян', 'извинился', 'смог', 'сделать', 'минимальную', 'пенсию', 'армении', '600', 'евро']",disagree,пашинян извинился за то что не смог сделать минимальную пенсию в армении 600 евро ,пашинян извиняться смочь сделать минимальный пенсия армения евро
2555,2556,"['оккупированном', 'энергодаре', 'разогнали', 'участников', 'антироссийского', 'митинга', 'городе', 'слышны', 'выстрелы', 'взрывы']",agree,в оккупированном энергодаре разогнали участников антироссийского митинга  в городе слышны выстрелы и взрывы,оккупировать энергодар разгонять участник антироссийский митинг город слышный выстрел взрыв
